,name,Pos,Club,Group,National Team,Birth town,Foreign-born,birth_country,
1068,Daniel Muï¿½ï,DF,Crystal Palace (ENG),K,Colombia,"Amalfi, Colombia",,Colombia,
436,Nathaniel Brown,DF,Eintracht Frankfurt,E,Germany,"Amberg, Germany",,Germany,
1015,Ali Olwan,FW,Al-Sailiya (QAT),J,Jordan,"Amman, Jordan",,Jordan,
1017,Anas Badawi,DF,Al-Faisaly,J,Jordan,"Amman, Jordan",,Jordan,
1018,Husam Abu Dahab,DF,Al-Faisaly,J,Jordan,"Amman, Jordan",,Jordan,
1027,Mohannad Abu Taha,MF,Al-Quwa Al-Jawiya (IRQ),J,Jordan,"Amman, Jordan",,Jordan,
1028,Musa Al-Taamari,FW,Rennes (FRA),J,Jordan,"Amman, Jordan",,Jordan,
1030,Noor Al-Rawabdeh,MF,Selangor (MAS),J,Jordan,"Amman, Jordan",,Jordan,
1031,Nour Bani Attiah,GK,Al-Faisaly,J,Jordan,"Amman, Jordan",,Jordan,
1032,Odeh Al-Fakhouri,FW,Pyramids (EGY),J,Jordan,"Amman, Jordan",,Jordan,
1033,Rajaei Ayed,MF,Al-Hussein,J,Jordan,"Amman, Jordan",,Jordan,
1035,Salim Obaid,DF,Al-Hussein,J,Jordan,"Amman, Jordan",,Jordan,
237,Anass Salah-Eddine,DF,PSV Eindhoven (NED),C,Morocco,"Amsterdam, Netherlands",Yes,Netherlands,
518,Tyrese Noslin,MF,Telstar (NED),E,Curaï¿½ï,"Amsterdam, Netherlands",Yes,Netherlands,
521,Brian Brobbey,FW,Sunderland (ENG),F,Netherlands,"Amsterdam, Netherlands",,Netherlands,
530,Justin Kluivert,MF,Bournemouth (ENG),F,Netherlands,"Amsterdam, Netherlands",,Netherlands,
541,Ryan Gravenberch,MF,Liverpool (ENG),F,Netherlands,"Amsterdam, Netherlands",,Netherlands,
1005,Ramiz Zerrouki,MF,Twente (NED),J,Algeria,"Amsterdam, Netherlands",Yes,Netherlands,
1204,Derrick Luckassen,DF,Pafos (CYP),L,Ghana,"Amsterdam, Netherlands",Yes,Netherlands,
1003,Oussama Benbot,GK,USM Alger,J,Algeria,"Aï¿½ï¿½n M'lila, Alg",,Algeria,
20,Obed Vargas,MF,Atlï¿½ï¿½tico Madrid (,A,Mexico,"Anchorage, Alaska, United States",Yes,United States,
480,Guï¿½ï¿½la D,DF,Strasbourg (FRA),E,Cï¿½ï¿½te d'Iv,"Angers, France",Yes,France,
837,Dï¿½ï¿½sirï¿½ï,FW,Paris Saint-Germain,I,France,"Angers, France",,France,
931,Rebin Sulaka,DF,Port (THA),I,Iraq,"Ankawa, Erbil, Iraq",,Iraq,
358,Ozan Kabak,DF,TSG Hoffenheim (GER),D,Turkey,"ýýankaya, Ankara, Turkey",,Turkey,
79,Cho Gue-sung,FW,Midtjylland (DEN),A,South Korea,"Ansan, South Korea",,South Korea,
361,Uï¿½ï¿½urcan ï¿½,GK,Galatasaray,D,Turkey,"Antalya, Turkey",,Turkey,
636,Koni De Winter,DF,Milan (ITA),G,Belgium,"Antwerp, Belgium",,Belgium,
643,Romelu Lukaku,FW,Napoli (ITA),G,Belgium,"Antwerp, Belgium",,Belgium,
585,Kï¿½ï¿½ Ita,DF,Ajax (NED),F,Japan,"Aoba-ku, Yokohama, Kanagawa, Japan",,Japan,
1177,Josip ï¿½ï¿½u,DF,Ajax (NED),L,Croatia,"ýýapljina, Bosnia and Herzegovina",Yes,Bosnia and Herzegovina,
114,Esmir Bajraktareviï¿,MF,PSV Eindhoven (NED),B,Bosnia and Herzegovina,"Appleton, Wisconsin, United States",Yes,United States,
1013,Abdallah Nasib,DF,Al-Zawraa (IRQ),J,Jordan,"Aqaba, Jordan",,Jordan,
1021,Mahmoud Al-Mardi,FW,Al-Hussein,J,Jordan,"Aqaba, Jordan",,Jordan,
666,Mohammad Ghorbani,MF,Al-Wahda (UAE),G,Iran,"Arak, Iran",,Iran,
366,Andrï¿½ï¿½s C,MF,Vancouver Whitecaps FC (CAN),D,Paraguay,"Aristï¿½ï¿½bulo del Valle, Argen",Yes,Argentina,
330,Miles Robinson,DF,FC Cincinnati,D,United States,"Arlington, Massachusetts, United States",,United States,
647,Timothy Castagne,DF,Fulham (ENG),G,Belgium,"Arlon, Belgium",,Belgium,
528,Jan Paul van Hecke,DF,Brighton & Hove Albion (ENG),F,Netherlands,"Arnemuiden, Netherlands",,Netherlands,
346,Ferdi Kadï¿½ï¿½o,DF,Brighton & Hove Albion (ENG),D,Turkey,"Arnhem, Netherlands",Yes,Netherlands,
1009,Samir Chergui,DF,Paris FC (FRA),J,Algeria,"Arpajon, France",Yes,France,
1025,Mohammad Abu Zrayq,FW,Raja Casablanca (MAR),J,Jordan,"Ar-Ramtha, Jordan",,Jordan,
1026,Mohammad Al-Dawoud,MF,Al-Wehdat,J,Jordan,"Ar-Ramtha, Jordan",,Jordan,
320,Cristian Roldan,MF,Seattle Sounders FC,D,United States,"Artesia, California, United States",,United States,
756,Darwin Nï¿½ï¿½,FW,Al-Hilal (KSA),H,Uruguay,"Artigas, Uruguay",,Uruguay,
589,Takefusa Kubo,MF,Real Sociedad (ESP),F,Japan,"Asao-ku, Kawasaki, Kanagawa, Japan",,Japan,
966,David Alaba,DF,Real Madrid (ESP),J,Austria,"Aspern, Vienna, Austria",,Austria,
631,Dodi Lukï¿½ï¿½b,FW,Benfica (POR),G,Belgium,"Asse, Belgium",,Belgium,
815,Jovane Cabral,FW,Estrela Amadora (POR),H,Cabo Verde,"Assomada, Cabo Verde",,Cape Verde,
369,Damiï¿½ï¿½n Bobad,MF,Sï¿½ï¿½o Paulo (,D,Paraguay,"Asunciï¿½ï¿½n, Para",,Paraguay,
374,Gatito Fernï¿½ï¿½,GK,Cerro Porteï¿½,D,Paraguay,"Asunciï¿½ï¿½n, Para",,Paraguay,
382,Jï¿½ï¿½nior Al,DF,Atlï¿½ï¿½tico Mineiro (,D,Paraguay,"Asunciï¿½ï¿½n, Para",,Paraguay,
384,Matï¿½ï¿½as Gal,MF,Atlanta United FC (USA),D,Paraguay,"Asunciï¿½ï¿½n, Para",,Paraguay,
159,Ahmed Fathy,MF,Al-Arabi,B,Qatar,"Aswan, Egypt",Yes,Egypt,
286,Alexandre Pierre,GK,Sochaux (FRA),C,Haiti,"Aubervilliers, France",Yes,France,
311,Yassin Fortunï¿,FW,Vizela (POR),C,Haiti,"Aubervilliers, France",Yes,France,
470,Ange-Yoan Bonny,FW,Inter Milan (ITA),E,Cï¿½ï¿½te d'Iv,"Aubervilliers, France",Yes,France,
702,Alex Paulsen,GK,Lechia Gdaï¿½ï¿½sk (,G,New Zealand,"Auckland, New Zealand",,New Zealand,
707,Callum McCowatt,MF,Silkeborg (DEN),G,New Zealand,"Auckland, New Zealand",,New Zealand,
708,Chris Wood,FW,Nottingham Forest (ENG),G,New Zealand,"Auckland, New Zealand",,New Zealand,
719,Max Crocombe,GK,Millwall (ENG),G,New Zealand,"Auckland, New Zealand",,New Zealand,
721,Michael Woud,GK,Auckland FC,G,New Zealand,"Auckland, New Zealand",,New Zealand,
1061,Samï¿½ï¿½ C,MF,Mallorca (ESP),K,Portugal,"Aveiro, Portugal",,Portugal,
463,Pedro Vite,MF,UNAM (MEX),E,Ecuador,"Babahoyo, Ecuador",,Ecuador,
910,Ahmed Basil,GK,Al-Shorta,I,Iraq,"Baghdad, Iraq",,Iraq,
911,Ahmed Maknzi,DF,Al-Karma,I,Iraq,"Baghdad, Iraq",,Iraq,
917,Ali Yousif,FW,Al-Talaba,I,Iraq,"Baghdad, Iraq",,Iraq,
920,Fahad Talib,GK,Al-Talaba,I,Iraq,"Baghdad, Iraq",,Iraq,
923,Ibrahim Bayesh,MF,Al-Dhafra (UAE),I,Iraq,"Baghdad, Iraq",,Iraq,
929,Mohanad Ali,FW,Dibba (UAE),I,Iraq,"Baghdad, Iraq",,Iraq,
679,Haissem Hassan,FW,Oviedo (ESP),G,Egypt,"Bagnolet, France",Yes,France,
949,Lautaro Martï¿½ï¿,FW,Inter Milan (ITA),J,Argentina,"Bahï¿½ï¿½a Blanca, Argen",,Argentina,
672,Saleh Hardani,DF,Esteghlal,G,Iran,"Bahmai, Iran",,Iran,
675,Shojae Khalilzadeh,DF,Tractor,G,Iran,"Bahnemir, Mazandaran, Iran",,Iran,
299,Josuï¿½ï¿½ Cas,FW,Auxerre (FRA),C,Haiti,"Baie-Mahault, Guadeloupe, France",Yes,France,
276,Lawrence Shankland,FW,Heart of Midlothian,C,Scotland,"Baillieston, Glasgow, Scotland",,Scotland,
748,Pedri,MF,Barcelona,H,Spain,"Bajamar, Spain",,Spain,
268,Findlay Curtis,MF,Rangers,C,Scotland,"Balfron, Stirling, Scotland",,Scotland,
313,Alex Freeman,DF,Villarreal (ESP),D,United States,"Baltimore, Maryland, United States",,United States,
908,Sadio Manï¿,FW,Al-Nassr (KSA),I,Senegal,"Bambali, Senegal",,Senegal,
671,Saeid Ezatolahi,MF,Shabab Al-Ahli (UAE),G,Iran,"Bandar-e Anzali, Iran",,Iran,
656,Aria Yousefi,MF,Sepahan,G,Iran,"Bandar-e Mahshahr, Iran",,Iran,
661,Hossein Kanaanizadegan,DF,Persepolis,G,Iran,"Bandar-e Mahshahr, Iran",,Iran,
904,Nicolas Jackson,FW,Bayern Munich (GER),I,Senegal,"Banjul, The Gambia",Yes,The Gambia,Senegal
733,David Raya,GK,Arsenal (ENG),H,Spain,"Barcelona, Spain",,Spain,
752,Vï¿½ï¿½ctor Mu,FW,Osasuna,H,Spain,"Barcelona, Spain",,Spain,
1164,Noni Madueke,FW,Arsenal,L,England,"Barnet, London, England",,England,
1155,John Stones,DF,Manchester City,L,England,"Barnsley, England",,England,
1084,Luis Dï¿½ï,FW,Bayern Munich (GER),K,Colombia,"Barrancas, Colombia",,Colombia,
230,Rayan,FW,Bournemouth (ENG),C,Brazil,"Barreira do Vasco, Rio de Janeiro, Brazil",,Brazil,
1048,Joï¿½ï¿½o Can,DF,Barcelona (ESP),K,Portugal,"Barreiro, Portugal",,Portugal,
185,Cedric Itten,FW,Fortuna Dï¿½ï¿½sseldorf (,B,Switzerland,"Basel, Switzerland",,Switzerland,
192,Granit Xhaka,MF,Sunderland (ENG),B,Switzerland,"Basel, Switzerland",,Switzerland,
404,Kai Trewin,DF,New York City FC (USA),D,Australia,"Batemans Bay, New South Wales, Australia",,Australia,
144,Luc de Fougerolles,DF,Dender (BEL),B,Canada,"Battersea, London, England",Yes,England,
348,ýýrfan Can Kahveci,FW,Kasï¿½ï¿½mp,D,Turkey,"Bayat, Ayaï¿½ï¿½, Ankara, Tu",,Turkey,
993,Hicham Boudaoui,MF,Nice (FRA),J,Algeria,"Bï¿½ï¿½char, Alg",,Algeria,
1202,Caleb Yirenkyi,MF,Nordsjï¿½ï¿½lland (,L,Ghana,"Bechem, Ghana",,Ghana,
1090,Aaron Tshibola,MF,Kilmarnock (SCO),K,DR Congo,"Beckton, Newham, England",Yes,England,
684,Karim Hafez,DF,Pyramids,G,Egypt,"Beheira, Egypt",,Egypt,
1126,Dostonbek Khamdamov,MF,Pakhtakor,K,Uzbekistan,"Bekabad, Uzbekistan",,Uzbekistan,
894,Idrissa Gueye,MF,Everton (ENG),I,Senegal,"Bel-Air, Dakar, Senegal",,Senegal,
263,Anthony Ralston,DF,Celtic,C,Scotland,"Bellshill, Scotland",,Scotland,
1045,Gonï¿½ï¿½alo Gu,FW,Real Sociedad (ESP),K,Portugal,"Benavente, Portugal",,Portugal,
234,Abde Ezzalzouli,FW,Real Betis (ESP),C,Morocco,"Beni Mellal, Morocco",,Morocco,
624,Alexis Saelemaekers,FW,Milan (ITA),G,Belgium,"Berchem-Sainte-Agathe, Belgium",,Belgium,
861,David Mï¿½ï¿½ller W,DF,Wolverhampton Wanderers (ENG),I,Norway,"Bergen, Norway",,Norway,
995,Ibrahim Maza,MF,Bayer Leverkusen (GER),J,Algeria,"Berlin, Germany",Yes,Germany,
3,Brian Gutiï¿½ï¿½,MF,Guadalajara,A,Mexico,"Berwyn, Illinois, United States",Yes,United States,
747,Pau Cubarsï¿,DF,Barcelona,H,Spain,"Bescanï¿½ï¿½, S",,Spain,
72,Teboho Mokoena,MF,Mamelodi Sundowns,A,South Africa,"Bethlehem, South Africa",,South Africa,
213,Danilo Luiz,DF,Flamengo,C,Brazil,"Bicas, Minas Gerais, Brazil",,Brazil,
183,Aurï¿½ï¿½le Am,DF,Eintracht Frankfurt (GER),B,Switzerland,"Biel/Bienne, Switzerland",,Switzerland,
1208,Iï¿½ï¿½aki Will,FW,Athletic Club (ESP),L,Ghana,"Bilbao, Spain",Yes,Spain,
486,Oumar Diakitï¿,FW,Cercle Brugge (BEL),E,Cï¿½ï¿½te d'Iv,"Bingerville, Cï¿½ï¿½te d'Iv",,Ivory Coast,
201,Noah Okafor,FW,Leeds United (ENG),B,Switzerland,"Binningen, Switzerland",,Switzerland,
318,Chris Richards,DF,Crystal Palace (ENG),D,United States,"Birmingham, Alabama, United States",,United States,
65,Oswin Appollis,FW,Orlando Pirates,A,South Africa,"Bishop Lavis, Cape Town, South Africa",,South Africa,
1144,Dan Burn,DF,Newcastle United,L,England,"Blyth, England",,England,
430,Leon Goretzka,MF,Bayern Munich,E,Germany,"Bochum, Germany",,Germany,
859,Andreas Schjelderup,MF,Benfica (POR),I,Norway,"Bodï¿½ï¿½, No",,Norway,
864,Fredrik Andrï¿½ï¿½ Bjï¿,DF,Bodï¿½ï¿½/G,I,Norway,"Bodï¿½ï¿½, No",,Norway,
867,Jens Petter Hauge,MF,Bodï¿½ï¿½/G,I,Norway,"Bodï¿½ï¿½, No",,Norway,
878,Patrick Berg,MF,Bodï¿½ï¿½/G,I,Norway,"Bodï¿½ï¿½, No",,Norway,
1199,Augustine Boakye,MF,Saint-ï¿½ï¿½tienne (,L,Ghana,"Bompata, Ghana",,Ghana,
857,William Saliba,DF,Arsenal (ENG),I,France,"Bondy, France",,France,
658,Dennis Eckert,FW,Standard Liï¿½ï¿½ge (,G,Iran,"Bonn, Germany",Yes,Germany,
633,Jï¿½ï¿½rï¿½ï¿,FW,Manchester City (ENG),G,Belgium,"Borgerhout, Antwerp, Belgium",,Belgium,
534,Mats Wieffer,DF,Brighton & Hove Albion (ENG),F,Netherlands,"Borne, Netherlands",,Netherlands,
545,Wout Weghorst,FW,Ajax,F,Netherlands,"Borne, Netherlands",,Netherlands,
70,Sipho Chaine,GK,Orlando Pirates,A,South Africa,"Botshabelo, South Africa",,South Africa,
165,Boualem Khoukhi,DF,Al-Sadd,B,Qatar,"Bou Ismail, Algeria",Yes,Algeria,
471,Bazoumana Tourï¿,FW,TSG Hoffenheim (GER),E,Cï¿½ï¿½te d'Iv,"Bouakï¿½ï¿½, Cï¿½ï¿½te ",,Ivory Coast,
989,Amine Gouiri,FW,Marseille (FRA),J,Algeria,"Bourgoin-Jallieu, France",Yes,France,
999,Mohamed Amine Tougai,DF,Espï¿½ï¿½rance de Tunis (,J,Algeria,"Bourouba, Algeria",,Algeria,
495,Armando Obispo,DF,PSV Eindhoven (NED),E,Curaï¿½ï,"Boxtel, Netherlands",Yes,Netherlands,
1042,Diogo Dalot,DF,Manchester United (ENG),K,Portugal,"Braga, Portugal",,Portugal,
134,Cyle Larin,FW,Southampton (ENG),B,Canada,"Brampton, Ontario, Canada",,Canada,
139,Jayden Nelson,MF,Austin FC (USA),B,Canada,"Brampton, Ontario, Canada",,Canada,
151,Promise David,FW,Union Saint-Gilloise (BEL),B,Canada,"Brampton, Ontario, Canada",,Canada,
154,Tajon Buchanan,MF,Villarreal (ESP),B,Canada,"Brampton, Ontario, Canada",,Canada,
434,Maximilian Beier,FW,Borussia Dortmund,E,Germany,"Brandenburg an der Havel, Germany",,Germany,
28,David Doudï¿½ï,DF,Slavia Prague,A,Czech Republic,"Brandï¿½ï¿½s nad Labem-Starï¿½ï¿½ Boleslav, Czech ",,Czech Republic,
510,Livano Comenencia,MF,Zï¿½ï¿½rich (,E,Curaï¿½ï,"Breda, Netherlands",Yes,Netherlands,
544,Virgil van Dijk,DF,Liverpool (ENG),F,Netherlands,"Breda, Netherlands",,Netherlands,
628,Brandon Mechele,DF,Club Brugge,G,Belgium,"Bredene, Belgium",,Belgium,
645,Thibaut Courtois,GK,Real Madrid (ESP),G,Belgium,"Bree, Belgium",,Belgium,
439,Oliver Baumann,GK,TSG Hoffenheim,E,Germany,"Breisach, West Germany",,Germany,
437,Nick Woltemade,FW,Newcastle United (ENG),E,Germany,"Bremen, Germany",,Germany,
390,Aiden O'Neill,MF,New York City FC (USA),D,Australia,"Brisbane, Australia",,Australia,
405,Lucas Herrington,DF,Colorado Rapids (USA),D,Australia,"Brisbane, Australia",,Australia,
130,Alfie Jones,DF,Middlesbrough (ENG),B,Canada,"Bristol, England",Yes,England,
713,Joe Bell,MF,Viking (NOR),G,New Zealand,"Bristol, England",Yes,England,
551,Carl Starfelt,DF,Celta Vigo (ESP),F,Sweden,"Bromma, Stockholm, Sweden",,Sweden,
991,Farï¿½ï¿½s Cha,MF,Eintracht Frankfurt (GER),J,Algeria,"Bron, Lyon, France",Yes,France,
141,Jonathan David,FW,Juventus (ITA),B,Canada,"Brooklyn, New York City, United States",Yes,United States,
321,Folarin Balogun,FW,Monaco (FRA),D,United States,"Brooklyn, New York City, United States",,United States,
335,Timothy Weah,FW,Marseille (FRA),D,United States,"Brooklyn, New York City, United States",,United States,
629,Charles De Ketelaere,FW,Atalanta (ITA),G,Belgium,"Bruges, Belgium",,Belgium,
879,Sander Berge,MF,Fulham (ENG),I,Norway,"Bï¿½ï¿½rum, No",,Norway,
722,Nando Pijnaker,DF,Auckland FC,G,New Zealand,"Brummen, Netherlands",Yes,Netherlands,
638,Matias Fernandez-Pardo,FW,Lille (FRA),G,Belgium,"Brussels, Belgium",,Belgium,
1103,Joris Kayembe,DF,Genk (BEL),K,DR Congo,"Brussels, Belgium",Yes,Belgium,
1105,Matthieu Epolo,GK,Standard Liï¿½ï¿½ge (,K,DR Congo,"Brussels, Belgium",Yes,Belgium,
1109,Noah Sadiki,MF,Sunderland (ENG),K,DR Congo,"Brussels, Belgium",Yes,Belgium,
133,Alphonso Davies,DF,Bayern Munich (GER),B,Canada,"Buduburam, Ghana",Yes,Ghana,
25,Santiago Gimï¿½ï¿,FW,Milan (ITA),A,Mexico,"Buenos Aires, Argentina",Yes,Argentina,
761,Fernando Muslera,GK,Estudiantes (ARG),H,Uruguay,"Buenos Aires, Argentina",Yes,Argentina,
102,Song Bum-keun,GK,Jeonbuk Hyundai Motors,A,South Korea,"Bundang-gu, Seongnam, South Korea",,South Korea,
1093,Axel Tuanzebe,DF,Burnley (ENG),K,DR Congo,"Bunia, DR Congo",,DR Congo,
149,Niko Sigur,DF,Hajduk Split (CRO),B,Canada,"Burnaby, British Columbia, Canada",,Canada,
662,Mehdi Ghayedi,MF,Al-Nasr (UAE),G,Iran,"Bushehr, Iran",,Iran,
663,Mehdi Taremi,FW,Olympiacos (GRE),G,Iran,"Bushehr, Iran",,Iran,
667,Mohammad Mohebi,MF,Rostov (RUS),G,Iran,"Bushehr, Iran",,Iran,
365,Alexandro Maidana,DF,Talleres (ARG),D,Paraguay,"Caacupï¿½ï¿½, Para",,Paraguay,
381,Julio Enciso,FW,Strasbourg (FRA),D,Paraguay,"Caaguazï¿½ï¿½, Para",,Paraguay,
772,Rodrigo Aguirre,FW,UANL (MEX),H,Uruguay,"Cadorna, Montevideo, Uruguay",,Uruguay,
676,Ahmed Fatouh,DF,Zamalek,G,Egypt,"Cairo, Egypt",,Egypt,
677,El Mahdy Soliman,GK,Zamalek,G,Egypt,"Cairo, Egypt",,Egypt,
681,Hamza Abdelkarim,FW,Barcelona B (ESP),G,Egypt,"Cairo, Egypt",,Egypt,
682,Hossam Abdelmaguid,DF,Zamalek,G,Egypt,"Cairo, Egypt",,Egypt,
690,Mohamed Hany,DF,Al Ahly,G,Egypt,"Cairo, Egypt",,Egypt,
697,Ramy Rabia,DF,Al Ain (UAE),G,Egypt,"Cairo, Egypt",,Egypt,
948,Juliï¿½ï¿½n Alv,FW,Atlï¿½ï¿½tico Madrid (,J,Argentina,"Calchï¿½ï¿½n, Argen",,Argentina,
1078,Jhon Lucumï¿,DF,Bologna (ITA),K,Colombia,"Cali, Colombia",,Colombia,
1079,Johan Mojica,DF,Mallorca (ESP),K,Colombia,"Cali, Colombia",,Colombia,
1082,Juan Portilla,MF,Athletico Paranaense (BRA),K,Colombia,"Cali, Colombia",,Colombia,
1070,Davinson Sï¿½ï¿½n,DF,Galatasaray (TUR),K,Colombia,"Caloto, Colombia",,Colombia,
398,Cristian Volpato,FW,Sassuolo (ITA),D,Australia,"Camperdown, New South Wales, Australia",,Australia,
